2510091296	69410
2510091297	29832
2510091298	29993
2510091299	45961
2510091300	55091
2510091301	40145
2510091302	83015
2510091303	58087
2510091304	80899
2510091305	05782
2510091306	12867
2510091307	35596
2510091308	87857
2510091309	27238
2510091310	52530
2510091311	06189
2510091312	14400
2510091313	08743
2510091314	78232
2510091315	32409
2510091316	25010
2510091317	71118
2510091318	98296
2510091319	83251
2510091320	71238
2510091321	99233
2510091322	10000
2510091323	17321
2510091324	07107
2510091325	50569
2510091326	78135
2510091327	90889
2510091328	64668
2510091329	34236
2510091330	62654
2510091331	59550
2510091332	26496
2510091333	32482
2510091334	32972
2510091335	85974
2510091336	67357
2510091337	21392
2510091338	76104
2510091339	15387
2510091340	73142
2510091341	22416
2510091342	29047
2510091343	88370
2510091344	07134
2510091345	69347
2510091346	00475
2510091347	84874
2510091348	77264
2510091349	43229
2510091350	91410
2510091351	72773
2510091352	92612
2510091353	80646
2510091354	24682
2510091355	49059
2510091356	16428
2510091357	47899
2510091358	35079
2510091359	61318
2510091360	39420
2510091361	98429
2510091362	21030
2510091363	65535
2510091364	99935
2510091365	49858
2510091366	28744
2510091367	63336
2510091368	77085
2510091369	71741
2510091370	25948
2510091371	93764
2510091372	44101
2510091373	54421
2510091374	00230
2510091375	27447
2510091376	26850
2510091377	27716
2510091378	62809
2510091379	16052
2510091380	18509
2510091381	51553
2510091382	75272
2510091383	22275
2510091384	73591
2510091385	00179
2510091386	94623
2510091387	32366
2510091388	10839
2510091389	78261
2510091390	36078
2510091391	84055
2510091392	06906
2510091393	52011
2510091394	74669
2510091395	81969
2510091396	57381
2510091397	71110
2510091398	23309
2510091399	36473
2510091400	59968
2510091401	36844
2510091402	32772
2510091403	02414
2510091404	51784
2510091405	28822
2510091406	98110
2510091407	97948
2510091408	63283
2510091409	48774
2510091410	61785
2510091411	08149
2510091412	08508
2510091413	66612
2510091414	32258
2510091415	13277
2510091416	92139
2510091417	78317
2510091418	75946
2510091419	04314
2510091420	43065
2510091421	98165
2510091422	72872
2510091423	61828
2510091424	91835
2510091425	26968
2510091426	08032
2510091427	96593
2510091428	02898
2510091429	55631
2510091430	98157
2510091431	91062
2510091432	15502
2510091433	59268
2510091434	80892
2510091435	33410
2510091436	93543
2510091437	69925
2510091438	55649
2510091439	91647
2510091440	40248
2510100001	52431
2510100002	23605
2510100003	29392
2510100004	13891
2510100005	21957
2510100006	78126
2510100007	01909
2510100008	27735
2510100009	99436
2510100010	23969
2510100011	39273
2510100012	16260
2510100013	58093
2510100014	87398
2510100015	60472
2510100016	98822
2510100017	04594
2510100018	81643
2510100019	78128
2510100020	19754
2510100021	95599
2510100022	97707
2510100023	50122
2510100024	62663
2510100025	74358
2510100026	73162
2510100027	33857
2510100028	03853
2510100029	64274
2510100030	49377
2510100031	01367
2510100032	48165
2510100033	52972
2510100034	10186
2510100035	05682
2510100036	51616
2510100037	59914
2510100038	30569
2510100039	92960
2510100040	60092
2510100041	73682
2510100042	23818
2510100043	90736
2510100044	68967
2510100045	16838
2510100046	09938
2510100047	12111
2510100048	28466
2510100049	12874
2510100050	34163
2510100051	79826
2510100052	28611
2510100053	90344
2510100054	53937
2510100055	58752
2510100056	86402
2510100057	36155
2510100058	84610
2510100059	51271
2510100060	61426
2510100061	73853
2510100062	02322
2510100063	52370
2510100064	51332
2510100065	68361
2510100066	09937
2510100067	28176
2510100068	62532
2510100069	44463
2510100070	89356
2510100071	15094
2510100072	69441
2510100073	86070
2510100074	48580
2510100075	91003
2510100076	18087
2510100077	84526
2510100078	57736
2510100079	87145
2510100080	53044
2510100081	35211
2510100082	21545
2510100083	17660
2510100084	46262
2510100085	03453
2510100086	42880
2510100087	57347
2510100088	11162
2510100089	86449
2510100090	63130
2510100091	22618
2510100092	21958
2510100093	45685
2510100094	26642
2510100095	25790
2510100096	53304
2510100097	08877
2510100098	65816
2510100099	68552
2510100100	66856
2510100101	23209
2510100102	52329
2510100103	94826
2510100104	73133
2510100105	40597
2510100106	41655
2510100107	29850
2510100108	25320
2510100109	88387
2510100110	75419
2510100111	90593
2510100112	26369
2510100113	07285
2510100114	62190
2510100115	93245
2510100116	76663
2510100117	42339
2510100118	27545
2510100119	44745
2510100120	07631
2510100121	41407
2510100122	80405
2510100123	01344
2510100124	39531
2510100125	06158
2510100126	56650
2510100127	44084
2510100128	98062
2510100129	93821
2510100130	42110
2510100131	01930
2510100132	35625
2510100133	76419
2510100134	27349
2510100135	93096
2510100136	64662
2510100137	98503
2510100138	64115
2510100139	06371
2510100140	91827
2510100141	52599
2510100142	56199
2510100143	80350
2510100144	51571
2510100145	88214
2510100146	55617
2510100147	22282
2510100148	60238
2510100149	98049
2510100150	65612
2510100151	01009
2510100152	83026
2510100153	01645
2510100154	42730
2510100155	78528
2510100156	71163
2510100157	26766
2510100158	06632
2510100159	63225
2510100160	66365
2510100161	08141
2510100162	31692
2510100163	24148
2510100164	71987
2510100165	32701
2510100166	45590
2510100167	41895
2510100168	66502
2510100169	16393
2510100170	61551
2510100171	48128
2510100172	08324
2510100173	17542
2510100174	44418
2510100175	56144
2510100176	86548
2510100177	73414
2510100178	38242
2510100179	41483
2510100180	80538
2510100181	79198
2510100182	12865
2510100183	22390
2510100184	04406
2510100185	61750
2510100186	61864
2510100187	71807
2510100188	69899
2510100189	61739
2510100190	85278
2510100191	23910
2510100192	99845
2510100193	77310
2510100194	10585
2510100195	61949
2510100196	54834
2510100197	77690
2510100198	74197
2510100199	97787
2510100200	14328
2510100201	49510
2510100202	51209
2510100203	14333
2510100204	41896
